daddy
mama
more
ba,ball
knock knock
no
daeg,dog
bubu,butter
baba,bottle
ee,please
book
nani,banana
oon,spoon
fork
knife
ower,flower
woof woof
uh oh
shirt
sock
duck
am,ham
raee,rice
mm,yum
oft,soft
doll
knee
deer
no eh,no idea
ehisit,where is it/she/he
baby
ight,light
off
neck
eye
mine
boke,broke
night night
bye bye
stuck
sun
bir,bird
ot,hot
baaba,bubble
door
ohn,phone
poke
bra
full
moon
mail
up
down
bike
big
slide
